,,0,1,2,3,4,5,6,7
100,0,6.9107409515911575,0.006822695904163011,0.00962490773665937,0.009745184636998729,-0.43224196332825865,0.9285714285714286,-13461235107.890268,-13461235107.890268
100,1,41.99139713970024,0.257175627280442,0.21243027612143542,0.38463374439335907,-0.08588704360756078,1.0,-13634561864.864046,-13634561864.864046
100,2,48.834060549085315,0.4228351351805612,0.21225202207530885,0.23831628111043057,-0.08699254367347262,1.0,-13077512736.024723,-13077512736.024723
100,3,7.083546622696119,0.02708875958801191,0.030756671112599637,0.05689964792411734,-0.3966374738932713,0.8571428571428572,-13475025834.83349,-13475025834.83349
100,4,24.987504109196152,0.2118212011037543,0.3002626362793229,0.2682773597219508,-0.0935690200772034,1.0,-14018576863.109053,-14018576863.109053
100,5,44.84192685865684,0.40729519639363165,0.3641512850840376,0.2571801373337215,-0.09457511440632226,1.0,-13463879433.19526,-13463879433.19526
100,6,11.260091315242425,0.01005646861220644,0.01996463044390788,0.027105588603297252,-0.4042427436178759,0.8928571428571429,-13886049972.235603,-13886049972.235603
100,7,7.30415229874286,0.06380581998790105,0.04485720763187013,0.024230938644474783,-0.3866654087967501,0.8928571428571429,-13544731645.172293,-13544731645.172293
100,8,41.0979853054262,0.6042159288818931,0.19004669939700164,0.438071501597,-0.08586886256654445,1.0,-13766745669.073017,-13766745669.073017
100,9,6.9032577377628055,3.0700105866754227e-06,1.3119726638068795e-05,0.00011386664044619347,-0.45154029465293344,0.7857142857142857,-13500325634.666113,-13500325634.666113
100,10,16.824099058401867,0.14906555108866915,0.06683017122323619,0.10402921130446788,-0.36062399616232316,0.9285714285714286,-13625338827.196875,-13625338827.196875
100,11,10.65400573393056,0.06713377205949282,0.0582465268525813,0.05334099118379982,-0.23520758228416902,0.9285714285714286,-14426194705.784878,-14426194705.784878
100,12,8.21778557394625,0.039627126315516334,0.019071137914855294,0.011467759222472488,-0.3701821488062219,0.8928571428571429,-14071097500.521112,-14071097500.521112
100,13,22.308189685511962,0.038764067185601415,0.0334612994031371,0.29270602142828495,-0.10355126723166408,0.8928571428571429,-13756486057.447973,-13756486057.447973
100,14,23.281337036522903,0.11625577454031856,0.09065447415183404,0.1973182920618262,-0.10325239411874809,0.9642857142857143,-14535921931.040861,-14535921931.040861
100,15,51.880454666226,0.24304091059414393,0.26130310034387516,0.4321600138457383,-0.09093999585443557,1.0,-13230271305.861605,-13230271305.861605
100,16,48.68694827893766,0.26222020662104795,0.13171261804793002,0.13944238982637627,-0.08103144807587774,1.0,-13474864334.448458,-13474864334.448458
100,17,32.32859609869704,0.2792588444725413,0.2047258864756087,0.2242757655852757,-0.08426422085328614,1.0,-14514505946.553608,-14514505946.553608
100,18,13.757500235918608,0.06684499240026338,0.0019377574434040596,0.04062356873684657,-0.38649006430711924,0.8928571428571429,-13504609142.2983,-13504609142.2983
100,19,49.16454072395186,0.18929561517068982,0.5246877341748966,0.38306364866022885,-0.08860860346719404,1.0,-13458471659.897024,-13458471659.897024
