
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	01578310	00060	68118	3	1	1999	1999	1	1999	26300	1999	26300	26300					26300				
USGS	01578310	00060	68118	3	2	1999	1999	1	1999	24600	1999	24600	24600					24600				
USGS	01578310	00060	68118	3	3	1999	1999	1	1999	23200	1999	23200	23200					23200				
USGS	01578310	00060	68118	3	4	1999	1999	1	1999	36600	1999	36600	36600					36600				
USGS	01578310	00060	68118	3	5	1999	1999	1	1999	56600	1999	56600	56600					56600				
USGS	01578310	00060	68118	3	6	1999	1999	1	1999	80300	1999	80300	80300					80300				
USGS	01578310	00060	68118	3	7	1999	1999	1	1999	84700	1999	84700	84700					84700				
USGS	01578310	00060	68118	3	8	1999	1999	1	1999	79300	1999	79300	79300					79300				
USGS	01578310	00060	68118	3	9	1999	1999	1	1999	72200	1999	72200	72200					72200				
USGS	01578310	00060	68118	3	10	1999	1999	1	1999	50600	1999	50600	50600					50600				
USGS	01578310	00060	68118	3	11	1999	1999	1	1999	44000	1999	44000	44000					44000				
USGS	01578310	00060	68118	3	12	1999	1999	1	1999	41000	1999	41000	41000					41000				
USGS	01578310	00060	68118	3	13	1999	1999	1	1999	31300	1999	31300	31300					31300				
USGS	01578310	00060	68118	3	14	1999	1999	1	1999	29000	1999	29000	29000					29000				
USGS	01578310	00060	68118	3	15	1999	1999	1	1999	38300	1999	38300	38300					38300				
USGS	01578310	00060	68118	3	16	1999	1999	1	1999	35700	1999	35700	35700					35700				
USGS	01578310	00060	68118	3	17	1999	1999	1	1999	34500	1999	34500	34500					34500				
USGS	01578310	00060	68118	3	18	1999	1999	1	1999	37900	1999	37900	37900					37900				
USGS	01578310	00060	68118	3	19	1999	1999	1	1999	39900	1999	39900	39900					39900				
USGS	01578310	00060	68118	3	20	1999	1999	1	1999	44000	1999	44000	44000					44000				
USGS	01578310	00060	68118	3	21	1999	1999	1	1999	58900	1999	58900	58900					58900				
USGS	01578310	00060	68118	3	22	1999	1999	1	1999	69100	1999	69100	69100					69100				
USGS	01578310	00060	68118	3	23	1999	1999	1	1999	70300	1999	70300	70300					70300				
USGS	01578310	00060	68118	3	24	1999	1999	1	1999	69800	1999	69800	69800					69800				
USGS	01578310	00060	68118	3	25	1999	1999	1	1999	69900	1999	69900	69900					69900				
USGS	01578310	00060	68118	3	26	1999	1999	1	1999	63900	1999	63900	63900					63900				
USGS	01578310	00060	68118	3	27	1999	1999	1	1999	60300	1999	60300	60300					60300				
USGS	01578310	00060	68118	3	28	1999	1999	1	1999	55800	1999	55800	55800					55800				
USGS	01578310	00060	68118	3	29	1999	1999	1	1999	61600	1999	61600	61600					61600				
USGS	01578310	00060	68118	3	30	1999	1999	1	1999	61600	1999	61600	61600					61600				
USGS	01578310	00060	68118	3	31	1999	1999	1	1999	57700	1999	57700	57700					57700				
USGS	01578310	00060	68118	4	1	1999	1999	1	1999	62800	1999	62800	62800					62800				
USGS	01578310	00060	68118	4	2	1999	1999	1	1999	56700	1999	56700	56700					56700				
USGS	01578310	00060	68118	4	3	1999	1999	1	1999	57000	1999	57000	57000					57000				
USGS	01578310	00060	68118	4	4	1999	1999	1	1999	57100	1999	57100	57100					57100				
USGS	01578310	00060	68118	4	5	1999	1999	1	1999	69900	1999	69900	69900					69900				
USGS	01578310	00060	68118	4	6	1999	1999	1	1999	70100	1999	70100	70100					70100				
USGS	01578310	00060	68118	4	7	1999	1999	1	1999	58200	1999	58200	58200					58200				
USGS	01578310	00060	68118	4	8	1999	1999	1	1999	57600	1999	57600	57600					57600				
USGS	01578310	00060	68118	4	9	1999	1999	1	1999	56400	1999	56400	56400					56400				
USGS	01578310	00060	68118	4	10	1999	1999	1	1999	51900	1999	51900	51900					51900				
USGS	01578310	00060	68118	4	11	1999	1999	1	1999	70700	1999	70700	70700					70700				
USGS	01578310	00060	68118	4	12	1999	1999	1	1999	71900	1999	71900	71900					71900				
USGS	01578310	00060	68118	4	13	1999	1999	1	1999	73300	1999	73300	73300					73300				
USGS	01578310	00060	68118	4	14	1999	1999	1	1999	73400	1999	73400	73400					73400				
USGS	01578310	00060	68118	4	15	1999	1999	1	1999	70600	1999	70600	70600					70600				
USGS	01578310	00060	68118	4	16	1999	1999	1	1999	62300	1999	62300	62300					62300				
USGS	01578310	00060	68118	4	17	1999	1999	1	1999	60500	1999	60500	60500					60500				
USGS	01578310	00060	68118	4	18	1999	1999	1	1999	41400	1999	41400	41400					41400				
USGS	01578310	00060	68118	4	19	1999	1999	1	1999	53500	1999	53500	53500					53500				
USGS	01578310	00060	68118	4	20	1999	1999	1	1999	46400	1999	46400	46400					46400				
USGS	01578310	00060	68118	4	21	1999	1999	1	1999	50200	1999	50200	50200					50200				
USGS	01578310	00060	68118	4	22	1999	1999	1	1999	42200	1999	42200	42200					42200				
USGS	01578310	00060	68118	4	23	1999	1999	1	1999	47200	1999	47200	47200					47200				
USGS	01578310	00060	68118	4	24	1999	1999	1	1999	43600	1999	43600	43600					43600				
USGS	01578310	00060	68118	4	25	1999	1999	1	1999	38100	1999	38100	38100					38100				
USGS	01578310	00060	68118	4	26	1999	1999	1	1999	50200	1999	50200	50200					50200				
USGS	01578310	00060	68118	4	27	1999	1999	1	1999	53300	1999	53300	53300					53300				
USGS	01578310	00060	68118	4	28	1999	1999	1	1999	55300	1999	55300	55300					55300				
USGS	01578310	00060	68118	4	29	1999	1999	1	1999	44500	1999	44500	44500					44500				
USGS	01578310	00060	68118	4	30	1999	1999	1	1999	45500	1999	45500	45500					45500				
USGS	01578310	00060	68118	5	1	1999	1999	1	1999	36400	1999	36400	36400					36400				
USGS	01578310	00060	68118	5	2	1999	1999	1	1999	30500	1999	30500	30500					30500				
USGS	01578310	00060	68118	5	3	1999	1999	1	1999	31500	1999	31500	31500					31500				
USGS	01578310	00060	68118	5	4	1999	1999	1	1999	25300	1999	25300	25300					25300				
USGS	01578310	00060	68118	5	5	1999	1999	1	1999	25400	1999	25400	25400					25400				
USGS	01578310	00060	68118	5	6	1999	1999	1	1999	22100	1999	22100	22100					22100				
USGS	01578310	00060	68118	5	7	1999	1999	1	1999	20600	1999	20600	20600					20600				
USGS	01578310	00060	68118	5	8	1999	1999	1	1999	17800	1999	17800	17800					17800				
USGS	01578310	00060	68118	5	9	1999	1999	1	1999	15000	1999	15000	15000					15000				
USGS	01578310	00060	68118	5	10	1999	1999	1	1999	30900	1999	30900	30900					30900				
USGS	01578310	00060	68118	5	11	1999	1999	1	1999	33200	1999	33200	33200					33200				
USGS	01578310	00060	68118	5	12	1999	1999	1	1999	25300	1999	25300	25300					25300				
USGS	01578310	00060	68118	5	13	1999	1999	1	1999	20400	1999	20400	20400					20400				
USGS	01578310	00060	68118	5	14	1999	1999	1	1999	19600	1999	19600	19600					19600				
USGS	01578310	00060	68118	5	15	1999	1999	1	1999	16300	1999	16300	16300					16300				
USGS	01578310	00060	68118	5	16	1999	1999	1	1999	13300	1999	13300	13300					13300				
USGS	01578310	00060	68118	5	17	1999	1999	1	1999	26000	1999	26000	26000					26000				
USGS	01578310	00060	68118	5	18	1999	1999	1	1999	19600	1999	19600	19600					19600				
USGS	01578310	00060	68118	5	19	1999	1999	1	1999	14400	1999	14400	14400					14400				
USGS	01578310	00060	68118	5	20	1999	1999	1	1999	13300	1999	13300	13300					13300				
USGS	01578310	00060	68118	5	21	1999	1999	1	1999	15400	1999	15400	15400					15400				
USGS	01578310	00060	68118	5	22	1999	1999	1	1999	15800	1999	15800	15800					15800				
USGS	01578310	00060	68118	5	23	1999	1999	1	1999	10900	1999	10900	10900					10900				
USGS	01578310	00060	68118	5	24	1999	1999	1	1999	18400	1999	18400	18400					18400				
USGS	01578310	00060	68118	5	25	1999	1999	1	1999	16700	1999	16700	16700					16700				
USGS	01578310	00060	68118	5	26	1999	1999	1	1999	13600	1999	13600	13600					13600				
USGS	01578310	00060	68118	5	27	1999	1999	1	1999	14300	1999	14300	14300					14300				
USGS	01578310	00060	68118	5	28	1999	1999	1	1999	16100	1999	16100	16100					16100				
USGS	01578310	00060	68118	5	29	1999	1999	1	1999	14000	1999	14000	14000					14000				
USGS	01578310	00060	68118	5	30	1999	1999	1	1999	14600	1999	14600	14600					14600				
USGS	01578310	00060	68118	5	31	1999	1999	1	1999	12800	1999	12800	12800					12800				
USGS	01578310	00060	68118	6	1	1999	1999	1	1999	12800	1999	12800	12800					12800				
USGS	01578310	00060	68118	6	2	1999	1999	1	1999	10200	1999	10200	10200					10200				
USGS	01578310	00060	68118	6	3	1999	1999	1	1999	14000	1999	14000	14000					14000				
USGS	01578310	00060	68118	6	4	1999	1999	1	1999	11100	1999	11100	11100					11100				
USGS	01578310	00060	68118	6	5	1999	1999	1	1999	8950	1999	8950	8950					8950				
USGS	01578310	00060	68118	6	6	1999	1999	1	1999	7850	1999	7850	7850					7850				
USGS	01578310	00060	68118	6	7	1999	1999	1	1999	15000	1999	15000	15000					15000				
USGS	01578310	00060	68118	6	8	1999	1999	1	1999	10300	1999	10300	10300					10300				
USGS	01578310	00060	68118	6	9	1999	1999	1	1999	6510	1999	6510	6510					6510				
USGS	01578310	00060	68118	6	10	1999	1999	1	1999	5820	1999	5820	5820					5820				
USGS	01578310	00060	68118	6	11	1999	1999	1	1999	5850	1999	5850	5850					5850				
USGS	01578310	00060	68118	6	12	1999	1999	1	1999	5850	1999	5850	5850					5850				
USGS	01578310	00060	68118	6	13	1999	1999	1	1999	5780	1999	5780	5780					5780				
USGS	01578310	00060	68118	6	14	1999	1999	1	1999	5850	1999	5850	5850					5850				
USGS	01578310	00060	68118	6	15	1999	1999	1	1999	5850	1999	5850	5850					5850				
USGS	01578310	00060	68118	6	16	1999	1999	1	1999	4940	1999	4940	4940					4940				
USGS	01578310	00060	68118	6	17	1999	1999	1	1999	4970	1999	4970	4970					4970				
USGS	01578310	00060	68118	6	18	1999	1999	1	1999	6440	1999	6440	6440					6440				
USGS	01578310	00060	68118	6	19	1999	1999	1	1999	6270	1999	6270	6270					6270				
USGS	01578310	00060	68118	6	20	1999	1999	1	1999	6540	1999	6540	6540					6540				
USGS	01578310	00060	68118	6	21	1999	1999	1	1999	11500	1999	11500	11500					11500				
USGS	01578310	00060	68118	6	22	1999	1999	1	1999	10600	1999	10600	10600					10600				
USGS	01578310	00060	68118	6	23	1999	1999	1	1999	4900	1999	4900	4900					4900				
USGS	01578310	00060	68118	6	24	1999	1999	1	1999	5410	1999	5410	5410					5410				
USGS	01578310	00060	68118	6	25	1999	1999	1	1999	5000	1999	5000	5000					5000				
USGS	01578310	00060	68118	6	26	1999	1999	1	1999	6550	1999	6550	6550					6550				
USGS	01578310	00060	68118	6	27	1999	1999	1	1999	8390	1999	8390	8390					8390				
USGS	01578310	00060	68118	6	28	1999	1999	1	1999	7870	1999	7870	7870					7870				
USGS	01578310	00060	68118	6	29	1999	1999	1	1999	4800	1999	4800	4800					4800				
USGS	01578310	00060	68118	6	30	1999	1999	1	1999	4840	1999	4840	4840					4840				
USGS	01578310	00060	68118	7	1	1999	1999	1	1999	4760	1999	4760	4760					4760				
USGS	01578310	00060	68118	7	2	1999	1999	1	1999	4980	1999	4980	4980					4980				
USGS	01578310	00060	68118	7	3	1999	1999	1	1999	8350	1999	8350	8350					8350				
USGS	01578310	00060	68118	7	4	1999	1999	1	1999	6530	1999	6530	6530					6530				
USGS	01578310	00060	68118	7	5	1999	1999	1	1999	13600	1999	13600	13600					13600				
USGS	01578310	00060	68118	7	6	1999	1999	1	1999	13800	1999	13800	13800					13800				
USGS	01578310	00060	68118	7	7	1999	1999	1	1999	4880	1999	4880	4880					4880				
USGS	01578310	00060	68118	7	8	1999	1999	1	1999	4930	1999	4930	4930					4930				
USGS	01578310	00060	68118	7	9	1999	1999	1	1999	4920	1999	4920	4920					4920				
USGS	01578310	00060	68118	7	10	1999	1999	1	1999	4880	1999	4880	4880					4880				
USGS	01578310	00060	68118	7	11	1999	1999	1	1999	4770	1999	4770	4770					4770				
