,,0,1
100,0,11.899693494736756,-0.08394550073908025
100,1,4.2866661150236185,-0.3038808262602951
100,2,7.183049744610223,-0.11762140756123586
100,3,2.425908747651468,-0.37926939998424286
100,4,1.5379629552723455,-0.4507978457300474
200,0,4.2866661150236185,-0.3038808262602951
200,1,2.425908747651468,-0.37926939998424286
200,2,1.5379629552723455,-0.4507978457300474
200,3,13.463673353523962,-0.09282563509140204
200,4,5.917178917838294,-0.1913396063032018
200,5,7.368755535745071,-0.10206286699234006
300,0,4.2866661150236185,-0.3038808262602951
300,1,1.5379629552723455,-0.4507978457300474
300,2,13.463673353523962,-0.09282563509140204
300,3,5.917178917838294,-0.1913396063032018
300,4,8.486408839276027,-0.12879425738823122
300,5,5.351308500754002,-0.23294560945843837
300,6,3.2020919479080705,-0.35212522512226263
400,0,4.2866661150236185,-0.3038808262602951
400,1,1.5379629552723455,-0.4507978457300474
400,2,3.2020919479080705,-0.35212522512226263
400,3,13.705628150578343,-0.08807569232182705
400,4,5.571193528114873,-0.2866836201326381
400,5,6.457365901363042,-0.17064805355164211
400,6,2.1919660857339225,-0.4059580813903831
400,7,8.505600083622832,-0.12468440575603776
500,0,4.2866661150236185,-0.3038808262602951
500,1,1.5379629552723455,-0.4507978457300474
500,2,13.705628150578343,-0.08807569232182705
500,3,5.571193528114873,-0.2866836201326381
500,4,2.1919660857339225,-0.4059580813903831
500,5,9.804971005580725,-0.13226914297081893
500,6,6.535470350587248,-0.1581310889609831
500,7,3.212814262200123,-0.35476681305706803
600,0,1.5379629552723455,-0.4507978457300474
600,1,2.1919660857339225,-0.4059580813903831
600,2,6.535470350587248,-0.1581310889609831
600,3,14.385482245636837,-0.09114303619432539
600,4,6.234052988004823,-0.23061722466749263
600,5,9.81300268977247,-0.13008352708386087
600,6,4.0326369302036325,-0.3706700361272516
600,7,5.893718306999153,-0.2816725010596708
700,0,2.1919660857339225,-0.4059580813903831
700,1,6.535470350587248,-0.1581310889609831
700,2,6.234052988004823,-0.23061722466749263
700,3,4.0326369302036325,-0.3706700361272516
700,4,5.893718306999153,-0.2816725010596708
700,5,14.793981105265033,-0.10124367621077728
700,6,1.591483062941865,-0.4531304675358919
800,0,2.1919660857339225,-0.4059580813903831
800,1,6.535470350587248,-0.1581310889609831
800,2,6.234052988004823,-0.23061722466749263
800,3,5.893718306999153,-0.2816725010596708
800,4,14.793981105265033,-0.10124367621077728
800,5,1.591483062941865,-0.4531304675358919
800,6,4.983469026832539,-0.3150177299901267
800,7,4.141200362989985,-0.3693280110120578
900,0,14.793981105265033,-0.10124367621077728
900,1,4.141200362989985,-0.3693280110120578
900,2,7.080090366190551,-0.21965308670142014
900,3,6.610568519765229,-0.2892789382918286
900,4,2.806055574793814,-0.4020430031004546
900,5,5.318470081561321,-0.3058453227368739
900,6,1.6034267747127764,-0.4522958723820999
1000,0,14.793981105265033,-0.10124367621077728
1000,1,7.080090366190551,-0.21965308670142014
1000,2,2.806055574793814,-0.4020430031004546
1000,3,5.318470081561321,-0.3058453227368739
1000,4,1.6034267747127764,-0.4522958723820999
1000,5,6.631137976435433,-0.289303844719113
1000,6,4.369748964027929,-0.3650055109838999
