,,0,1
100,0,4.499329601088318,-0.25798055456966
100,1,6.902994562511752,-0.1105415630535687
100,2,1.5467931262257824,-0.45163026924578664
100,3,3.6287649714222865,-0.33575888099896595
100,4,13.550948099716416,-0.08374359576432734
100,5,2.454162336739007,-0.35082453773119865
200,0,4.499329601088318,-0.25798055456966
200,1,6.902994562511752,-0.1105415630535687
200,2,1.5467931262257824,-0.45163026924578664
200,3,13.550948099716416,-0.08374359576432734
200,4,3.701087016654325,-0.33677295591600803
200,5,2.526073044052356,-0.37003010277324383
200,6,2.152671101854174,-0.4088473887099181
300,0,1.5467931262257824,-0.45163026924578664
300,1,3.701087016654325,-0.33677295591600803
300,2,2.152671101854174,-0.4088473887099181
300,3,15.585062619475812,-0.10219474046678817
300,4,7.011206952513779,-0.25215015602436164
300,5,2.889097676345384,-0.37336306932895347
400,0,1.5467931262257824,-0.45163026924578664
400,1,2.152671101854174,-0.4088473887099181
400,2,15.585062619475812,-0.10219474046678817
400,3,7.011206952513779,-0.25215015602436164
400,4,4.563574305983868,-0.3638152892544727
500,0,1.5467931262257824,-0.45163026924578664
500,1,15.585062619475812,-0.10219474046678817
500,2,7.011206952513779,-0.25215015602436164
500,3,4.602167685696094,-0.36009981564667104
500,4,2.721927354182582,-0.40218405002605906
600,0,1.5467931262257824,-0.45163026924578664
600,1,15.585062619475812,-0.10219474046678817
600,2,7.011206952513779,-0.25215015602436164
600,3,4.602167685696094,-0.36009981564667104
600,4,2.721927354182582,-0.40218405002605906
700,0,1.5467931262257824,-0.45163026924578664
700,1,15.585062619475812,-0.10219474046678817
700,2,7.011206952513779,-0.25215015602436164
700,3,4.602167685696094,-0.36009981564667104
700,4,2.721927354182582,-0.40218405002605906
700,5,7.698706233380298,-0.1933489934879224
800,0,15.585062619475812,-0.10219474046678817
800,1,7.011206952513779,-0.25215015602436164
800,2,4.602167685696094,-0.36009981564667104
800,3,16.020889143841103,-0.09406019372090738
800,4,8.554896794717635,-0.16276992593236334
800,5,5.021914864346685,-0.32420166453704186
800,6,3.0375109922683867,-0.4050859185425896
800,7,1.879316138342714,-0.45119504299202035
900,0,15.585062619475812,-0.10219474046678817
900,1,4.602167685696094,-0.36009981564667104
900,2,16.020889143841103,-0.09406019372090738
900,3,8.554896794717635,-0.16276992593236334
900,4,5.021914864346685,-0.32420166453704186
900,5,1.879316138342714,-0.45119504299202035
900,6,3.3434910809343483,-0.4000593143964902
900,7,7.03577915767161,-0.251508811731583
1000,0,5.021914864346685,-0.32420166453704186
1000,1,7.03577915767161,-0.251508811731583
1000,2,16.13180476330433,-0.09665009217867088
1000,3,9.75891239364885,-0.1712640908774325
1000,4,3.348015513666078,-0.40449410374570804
1000,5,1.9289353002307887,-0.4520395565235329
1000,6,4.602381634889485,-0.3588615915560268
1000,7,15.765074818906339,-0.10105277983786677
