,nfe,improvements
0,100,15
1,200,26
2,300,35
3,400,47
4,500,63
5,600,75
6,700,87
7,800,100
8,900,108
9,1000,117
10,1100,127
11,1200,135
12,1300,142
13,1400,154
14,1500,161
15,1600,170
16,1700,171
17,1800,177
18,1900,183
19,2000,191
20,2100,201
21,2200,209
22,2300,215
23,2400,218
24,2500,221
25,2600,225
26,2700,231
27,2800,236
28,2900,237
29,3000,247
30,3100,254
31,3200,258
32,3300,261
33,3400,265
34,3500,268
35,3600,271
36,3700,273
37,3800,278
38,3900,283
39,4000,285
40,4100,289
41,4200,294
42,4300,298
43,4400,301
44,4500,306
45,4600,310
46,4700,312
47,4800,319
48,4900,325
49,5000,326
50,5100,329
51,5200,336
52,5300,338
53,5400,344
54,5500,350
55,5600,351
56,5700,358
57,5800,364
58,5900,367
59,6000,372
60,6100,376
61,6200,381
62,6300,387
63,6400,392
64,6500,398
65,6600,403
66,6700,415
67,6800,420
68,6900,423
69,7000,425
70,7100,434
71,7200,436
72,7300,440
73,7400,444
74,7500,446
75,7600,452
76,7700,457
77,7800,460
78,7900,464
79,8000,465
80,8100,467
81,8200,468
82,8300,472
83,8400,477
84,8500,481
85,8600,484
86,8700,489
87,8800,491
88,8900,495
89,9000,498
90,9100,499
91,9200,501
92,9300,501
93,9400,504
94,9500,509
95,9600,513
96,9700,516
97,9800,518
98,9900,521
99,10429,525
100,11001,551
101,11573,589
102,12145,635
103,12717,695
104,13289,743
105,13861,795
106,14433,837
107,15005,868
108,15577,912
109,16149,949
110,16721,979
111,17293,1006
112,17865,1046
113,18437,1083
114,19009,1111
115,19581,1133
116,20153,1161
117,20725,1177
118,21297,1200
119,21869,1223
120,22441,1260
121,23013,1286
122,23585,1303
123,24157,1326
124,24729,1361
125,25301,1379
126,25873,1397
127,26445,1420
128,27017,1441
129,27589,1462
130,28161,1475
131,28733,1491
132,29305,1515
133,29877,1529
134,30449,1549
135,31021,1572
136,31593,1589
137,32165,1614
138,32737,1638
139,33309,1665
140,33881,1679
141,34453,1704
142,35025,1716
143,35597,1731
144,36169,1749
145,36741,1763
146,37313,1780
147,37885,1791
148,38457,1801
149,39029,1816
150,39601,1821
151,40173,1838
152,40745,1850
153,41317,1863
154,41889,1876
155,42461,1895
156,43033,1913
157,43605,1927
158,44177,1942
159,44749,1961
160,45321,1975
161,45893,1985
162,46465,1998
163,47037,2006
164,47609,2016
165,48181,2027
166,48753,2040
167,49325,2053
168,49897,2063
169,50469,2084
170,51041,2097
171,51613,2113
172,52185,2131
173,52757,2139
174,53329,2155
175,53901,2161
176,54473,2171
177,55045,2186
178,55617,2200
179,56189,2216
180,56761,2226
181,57333,2233
182,57905,2244
183,58477,2250
184,59049,2259
185,59621,2271
186,60193,2274
187,60765,2282
188,61337,2294
189,61909,2304
190,62481,2316
191,63053,2331
192,63625,2346
193,64197,2352
194,64769,2360
195,65341,2370
196,65913,2381
197,66485,2392
198,67057,2408
199,69381,2416
200,71717,2509
201,74053,2587
202,76389,2732
203,78725,2881
204,81061,3041
205,83397,3198
206,85733,3318
207,88069,3462
208,90405,3574
209,92741,3679
210,95077,3774
211,97413,3849
212,99749,3934
213,102085,3999
214,104421,4069
215,106757,4138
216,109093,4217
217,111429,4299
218,113765,4374
219,116101,4442
220,118437,4502
221,120773,4574
222,123109,4635
223,125445,4694
224,127781,4752
225,130117,4808
226,132453,4851
227,134789,4899
228,137125,4941
229,139461,4988
230,141797,5032
231,144133,5074
232,146469,5112
233,148805,5146
234,151141,5181
235,153477,5223
236,155813,5278
237,158149,5314
238,160485,5349
239,162821,5397
240,165157,5435
241,167493,5469
242,169829,5508
243,172165,5536
244,174501,5571
245,176837,5615
246,179173,5645
247,181509,5687
248,183845,5717
249,186181,5757
250,188517,5784
251,190853,5823
252,193189,5857
253,195525,5893
254,197861,5916
255,200197,5945
256,202533,5982
257,204869,6024
258,207205,6055
259,209541,6092
260,211877,6132
261,214213,6159
262,216549,6182
263,218885,6222
264,221221,6250
265,223557,6291
266,225893,6321
267,228229,6360
268,230565,6389
269,232901,6418
270,235237,6439
271,237573,6475
272,239909,6499
273,242245,6532
274,244581,6564
275,246917,6594
276,249253,6627
277,251589,6663
