Hydropower revenue,Atomic PP,Baltimore,Chester,Environment,Recreation,Equity,gini_yearly_mean_coeff,eucli_yearly_mean_coeff,gini_monthly_std_coeff,eucli_monthly_std_coeff,gini_ratio,eucli_ratio,principle
76.09240407955063,0.4947020705386144,0.1396031603731986,0.7372379169225928,0.920397187072086,1.0,0.06710331596350372,0.17791211363948514,7.225594655182006,0.003290160243901185,0.1238621881079007,0.018493177201909086,0.017142144559558155,CombinedTraditionalEuclideanMean
77.3040879389834,0.966786196938603,0.6666564612420297,0.9357500489690208,0.9103963581433336,1.0,0.3441402823569175,0.09886166420224854,5.461370462081736,0.002481327180362003,0.094618030656137,0.025098982506361316,0.01732496107214653,CombinedTraditionalEuclideanMean
22.263592125392364,0.2196036771086131,0.2214181314135997,0.164742327885444,0.8348102800841349,0.6428571428571428,0.77383229428884,0.13437930161806783,2.7250098496293633,0.008460512697856876,0.14379642764223358,0.06295993948460384,0.05276914050853495,CombinedTraditionalEuclideanMean
76.3501404013299,0.7949647845060561,0.0904986166553887,0.778980617050663,0.9200254752628285,1.0,0.08138993901121006,0.1618082622211485,7.134614717209848,0.001913857216402142,0.15527420803737726,0.011827932579774032,0.02176350289285148,CombinedTraditionalEuclideanMean
33.74495910832425,0.4189187179309008,0.3892067468592881,0.4457138431480121,0.9004248832612539,0.75,0.6628873535201358,0.11381744665467984,3.431528373688968,0.004044319582756054,0.11138059244271231,0.03553338878727836,0.03245801296492727,CombinedTraditionalEuclideanMean
66.49051853600625,0.7739286412203005,0.5366962694315646,0.6735611629192506,0.9217931693355309,1.0,0.3303181719477064,0.11921536057509229,5.5493922950561965,0.001207766151143332,0.08415065977256284,0.010130960853677703,0.015163941436890375,CombinedTraditionalEuclideanMean
20.23622734413391,0.3458945576619708,0.2292356180581725,0.2731126913470721,0.7815092534070232,0.5357142857142857,0.8930701224341766,0.08873726199054001,1.965680638494396,0.008961458609169066,0.15798650648712098,0.10098867610006289,0.08037241828262094,CombinedTraditionalEuclideanMean
20.49048095156432,0.2372155487843392,0.2288895310304081,0.2695652764150974,0.781856692737697,0.5714285714285714,0.9034621641838592,0.08925360968075108,1.8995021363646014,0.008052140272068301,0.13429802373254496,0.09021641030396185,0.07070169659802215,CombinedTraditionalEuclideanMean
77.38100949313615,0.6256769670399049,0.3936542111102888,0.0919398180357546,0.921934130715335,1.0,0.040353100696028044,0.19674081660501638,7.395945123424223,0.0028240511953581365,0.13133939371053677,0.014354170344976247,0.017758297488520088,CombinedTraditionalEuclideanMean
58.404902162243694,0.6927599186599256,0.6662287548097798,0.6998471742715747,0.912129269431281,0.9285714285714286,0.5190981070560026,0.09565957990452525,4.347205695102607,0.00257141863503362,0.10601554203562573,0.026880931712224432,0.024387054460077356,CombinedTraditionalEuclideanMean
53.57388081435148,0.8250827260979079,0.8280753481326056,0.9093262035702356,0.9197710707342093,0.9285714285714286,0.4154452994375406,0.09872993448246407,5.007286525700404,0.005014164920871773,0.19256032160827088,0.05078667323295311,0.03845602216288914,CombinedTraditionalEuclideanMean
29.57294589953039,0.364271973343314,0.3646482640615019,0.3688477277786967,0.8310111580559624,0.9285714285714286,0.6003650692041891,0.12497111179276557,3.829682194220799,0.00704681237742946,0.17083359639247236,0.056387530496767105,0.04460777362943318,CombinedTraditionalEuclideanMean
33.9497182943407,0.3931099800465831,0.3993284575142558,0.3945718635797776,0.764369456468647,0.7142857142857143,0.8172832381235338,0.08011070643274106,2.448305959444002,0.008729303282483246,0.23106243707081867,0.10896550125684075,0.09437645494409196,CombinedTraditionalEuclideanMean
39.98942943438138,0.463867205741234,0.463979257704561,0.4799818925725964,0.863642948916846,0.75,0.70305544308756,0.09490363674940877,3.1757303250457616,0.007394933247423736,0.21573645349092738,0.07792044120448108,0.06793286312427006,CombinedTraditionalEuclideanMean
75.1493161098552,0.7396008788972086,0.1226671227073427,0.9027083615967676,0.9207153258021026,1.0,0.07953642184428089,0.15837964764996385,7.146418267728009,0.002768887931638883,0.10237692710160302,0.017482599391548243,0.014325627645378602,CombinedTraditionalEuclideanMean
38.979641768495874,0.4915189584538875,0.4949042283461262,0.515625878174869,0.6596412318371002,0.8214285714285714,0.8081626585215522,0.06637163112036498,2.506387548332265,0.007221115807064965,0.22238653135331893,0.10879822727227344,0.08872791101332017,CombinedTraditionalEuclideanMean
45.544757339000704,0.5558259879785948,0.5534381193123532,0.5576780633113928,0.7460663462506769,0.9285714285714286,0.6700177704786352,0.08286978546717462,3.3861205197521995,0.005519268864663874,0.1891847855067062,0.06660170330536333,0.05587065918154354,CombinedTraditionalEuclideanMean
25.692456939437644,0.3519994154417217,0.2528582737650739,0.3073584743315432,0.7847690864150075,0.6071428571428572,0.8470541740147275,0.09210159650274109,2.25871896665296,0.011299610166751423,0.23519011582455174,0.12268636588091204,0.10412544424376255,CombinedTraditionalEuclideanMean
78.62947028010905,0.3808094365247647,0.092221548725034,0.1348227580019789,0.9207224017650428,1.0,0.03287308470440675,0.23460484225998543,7.443579290622166,0.006957361001319645,0.2093479115867356,0.029655658145408638,0.028124629753119405,CombinedTraditionalEuclideanMean
44.8223286745878,0.5559024836030961,0.5582020746355731,0.5576233909782656,0.811574686421872,0.9285714285714286,0.6137093027672946,0.09363136988908219,3.7447035720647257,0.004069271361394123,0.14036183627028218,0.04346055564726515,0.03748276293946828,CombinedTraditionalEuclideanMean
