Hydropower revenue,Atomic PP,Baltimore,Chester,Environment,Recreation,Equity,Deviation,principle
71.93204992869543,0.9701200457575352,0.9069504686495984,0.7360240218900503,0.9047315973107657,1.0,0.9825225161015998,0.08387948323717768,CombinedTraditionalEuclideanRatioStdMean
59.320026759164826,0.6451599535170184,0.6381896056247344,0.5625069674376917,0.9420458062331395,1.0,0.9809730684947076,0.1625835299001226,CombinedTraditionalEuclideanRatioStdMean
76.74658673698882,0.5754519413789712,0.527286435992254,0.7148740178253595,0.9213303479728923,1.0,0.9783687104771515,0.18365180711338486,CombinedTraditionalEuclideanRatioStdMean
75.46289055052958,0.9719364595732884,0.6524902738377468,0.9086186406945272,0.9106425086610765,1.0,0.9849504433900834,0.11334015530013604,CombinedTraditionalEuclideanRatioStdMean
75.5357285057047,0.3007326914124142,0.0980700835843676,0.9161386142819176,0.9193754661779102,1.0,0.9927557681108528,0.35481650409778626,CombinedTraditionalEuclideanRatioStdMean
78.23678931501554,0.4560732085732041,0.2842506406934081,0.5733587664361328,0.9202713000276062,1.0,0.9723033274206649,0.273738197252691,CombinedTraditionalEuclideanRatioStdMean
58.59331792746588,0.9435293640234844,0.6363194979393633,0.604045668833689,0.9438061116717817,1.0,0.9814705549126393,0.15955689773137996,CombinedTraditionalEuclideanRatioStdMean
79.64075404215218,0.9908531076005928,0.8561659839089424,0.9275124703643992,0.9042991437441736,1.0,0.985235103890294,0.051206467121936224,CombinedTraditionalEuclideanRatioStdMean
54.85803256478578,0.8623463848798241,0.7181613897756725,0.6742898753318423,0.9506557774189692,0.9642857142857144,0.981863622285693,0.1240092379798742,CombinedTraditionalEuclideanRatioStdMean
56.02592953850129,0.6997743571132224,0.8334081481601674,0.236703888462315,0.9507136579714508,1.0,0.989654403375932,0.25115268503146226,CombinedTraditionalEuclideanRatioStdMean
74.66260109626556,0.7031711063933315,0.3552885719163952,0.9131526439239336,0.9207220696230722,1.0,0.9863607341895396,0.2189956775796692,CombinedTraditionalEuclideanRatioStdMean
77.57405520589273,0.4090788242186042,0.3139985779833145,0.798161020573631,0.920128412487153,1.0,0.9779933646017716,0.26985685360045686,CombinedTraditionalEuclideanRatioStdMean
57.147963127543534,0.673976225935725,0.7078128715274506,0.2386316816466557,0.9552360482412938,1.0,0.9822392083857777,0.2475878365719791,CombinedTraditionalEuclideanRatioStdMean
52.73935615793264,0.9208303878933704,0.8128121184388923,0.5421328698150264,0.9464890485451288,1.0,0.9915628090165219,0.16512029592762772,CombinedTraditionalEuclideanRatioStdMean
81.0898855793869,0.300750055155678,0.0715786864826443,0.6170010128236838,0.9107931910060526,1.0,0.9828356698417036,0.35615913693297474,CombinedTraditionalEuclideanRatioStdMean
56.39885714530228,0.4434987918172826,0.6388928264664837,0.7104415974973531,0.9500004273286066,0.9642857142857144,0.9754856144102115,0.18036882036187601,CombinedTraditionalEuclideanRatioStdMean
80.18686476157276,0.9647055785493598,0.6374332499536985,0.7249696208843776,0.9090883352181458,1.0,0.9827718269370674,0.13845038360167372,CombinedTraditionalEuclideanRatioStdMean
78.52252686389672,0.2990941974779304,0.3418629677471206,0.6579736971946876,0.9201215961746148,1.0,0.9783432362711686,0.28760759138865516,CombinedTraditionalEuclideanRatioStdMean
74.0710213455595,0.7225160611044925,0.5033408051374685,0.7538016711862455,0.9205700587411405,1.0,0.9784344824336123,0.1646270133039605,CombinedTraditionalEuclideanRatioStdMean
58.309372696833954,0.5315161310613487,0.3420741741682681,0.4786668006725629,0.961096239583064,1.0,0.970284740222914,0.24456148355026952,CombinedTraditionalEuclideanRatioStdMean
68.44399567557798,0.8070521836321456,0.5057986968496558,0.9016203360565532,0.919818731627223,1.0,0.9928495693047843,0.15697343034924105,CombinedTraditionalEuclideanRatioStdMean
74.87990019995433,0.964887721298652,0.4363300020615469,0.654690805336759,0.9161979916423542,1.0,0.991060506075548,0.20268437936905107,CombinedTraditionalEuclideanRatioStdMean
55.89931696806136,0.7374735771595476,0.4253018465834388,0.6833185403721284,0.9621392391183505,1.0,0.9889341908464327,0.19216400339657644,CombinedTraditionalEuclideanRatioStdMean
59.07248820532073,0.9322289312652716,0.4713057244399836,0.7724058825385209,0.9419667552181517,1.0,0.9858724895367302,0.17860493489595447,CombinedTraditionalEuclideanRatioStdMean
72.27438652631427,0.8084133535823588,0.4204839378134971,0.9206822367054228,0.923134364997304,1.0,0.9815663978765207,0.1902684536877644,CombinedTraditionalEuclideanRatioStdMean
71.11823918277956,0.6855361278928516,0.5180445220372469,0.9367536109637348,0.9201504102448048,1.0,0.9914504605133316,0.16748171536511763,CombinedTraditionalEuclideanRatioStdMean
59.59071572770828,0.779764807107511,0.6051297808810251,0.4339124188254443,0.9409543778037337,1.0,0.977860087700211,0.19195451230017205,CombinedTraditionalEuclideanRatioStdMean
57.57926991428008,0.97131898449603,0.6984893454269103,0.8049574064301306,0.9443654073975699,0.9642857142857144,0.9813974604069966,0.11737545963537545,CombinedTraditionalEuclideanRatioStdMean
54.510913476604216,0.8188713398723205,0.9020868176472716,0.4703010338920985,0.9330603240038785,1.0,0.9904157744360537,0.18000847135430836,CombinedTraditionalEuclideanRatioStdMean
55.922274048784,0.8750997056092691,0.7115769002970728,0.4394808347125208,0.9503977636548842,0.9642857142857144,0.9885336176146349,0.1832470535246988,CombinedTraditionalEuclideanRatioStdMean
69.95437133169412,0.9759947722973554,0.8125535606055125,0.9294523089811756,0.9101815568669671,1.0,0.9815778864977062,0.06420601409449357,CombinedTraditionalEuclideanRatioStdMean
