,nfe,improvements
0,100,63
1,200,88
2,300,109
3,400,137
4,500,159
5,600,175
6,700,194
7,800,217
8,900,232
9,1000,254
10,1100,270
11,1200,287
12,1300,309
13,1400,322
14,1500,341
15,1600,356
16,1700,377
17,1800,404
18,1900,427
19,2000,450
20,2100,469
21,2200,487
22,2300,507
23,2400,528
24,2500,545
25,2600,561
26,2700,581
27,2800,599
28,2900,614
29,3000,634
30,3100,649
31,3200,664
32,3300,674
33,3400,689
34,3500,705
35,3600,718
36,3700,730
37,3800,746
38,3900,756
39,4000,773
40,4100,791
41,4200,809
42,4300,825
43,4400,835
44,4500,847
45,4600,864
46,4700,887
47,4800,904
48,4900,916
49,5000,929
50,5100,947
51,5200,961
52,5300,974
53,5400,993
54,5500,1009
55,5600,1023
56,5700,1039
57,5800,1050
58,5900,1058
59,6000,1076
60,6100,1089
61,6200,1103
62,6300,1115
63,6400,1128
64,6500,1145
65,6600,1157
66,6700,1169
67,6800,1179
68,6900,1194
69,7000,1213
70,7100,1232
71,7200,1248
72,7300,1256
73,7400,1267
74,7500,1278
75,7600,1292
76,7700,1306
77,7800,1317
78,7900,1329
79,8000,1342
80,8100,1349
81,8200,1360
82,8300,1370
83,8400,1386
84,8500,1400
85,8600,1410
86,8700,1422
87,8800,1437
88,8900,1449
89,9000,1456
90,9100,1468
91,9200,1476
92,9300,1491
93,9400,1498
94,9500,1510
95,9600,1517
96,9700,1525
97,9800,1541
98,9900,1555
99,11455,1577
100,13395,1740
101,15335,1967
102,17275,2313
103,19215,2726
104,21155,3095
105,23095,3422
106,25035,3771
107,26975,4082
108,28915,4389
109,30855,4669
110,32795,4926
111,34735,5218
112,36675,5485
113,38615,5752
114,40555,6013
115,42495,6267
116,44435,6531
117,46375,6771
118,48315,7006
119,50255,7198
120,52195,7424
121,54135,7659
122,56075,7880
123,58015,8119
124,59955,8350
125,61895,8554
126,63835,8753
127,65775,8961
128,67715,9157
129,69655,9360
130,71595,9567
131,73535,9748
132,75475,9929
133,77415,10109
134,79355,10287
135,81295,10504
136,83235,10682
137,85175,10842
138,87115,10999
139,89055,11157
140,90995,11283
141,92935,11427
142,94875,11597
143,96815,11750
144,98755,11899
145,100695,12057
146,102635,12214
147,104575,12378
148,106515,12542
149,108455,12707
150,110395,12853
151,112335,12992
152,114275,13130
153,116215,13268
154,118155,13420
155,120095,13568
156,122035,13698
157,123975,13831
158,125915,13958
159,127855,14112
160,129795,14254
161,131735,14393
162,133675,14518
163,135615,14660
164,137555,14767
165,139495,14886
166,141435,15026
167,143375,15158
168,145315,15278
169,147255,15381
170,149195,15510
171,151135,15638
172,153075,15762
173,155015,15892
174,156955,16016
175,158895,16139
176,160835,16278
177,162775,16393
178,164715,16500
179,166655,16586
180,168595,16706
181,170535,16819
182,172475,16917
183,174415,17032
184,176355,17133
185,178295,17229
186,180235,17364
187,182175,17472
188,184115,17579
189,186055,17675
190,187995,17771
191,189935,17869
192,191875,17971
193,193815,18059
194,195755,18150
195,197695,18267
196,199635,18371
197,201575,18481
198,203515,18584
199,205455,18675
200,207395,18769
201,209335,18877
202,211275,18963
203,213215,19073
204,215155,19178
205,217095,19284
206,219035,19388
207,220975,19508
208,222915,19608
209,224855,19713
210,226795,19819
211,228735,19910
212,230675,20013
213,232615,20119
214,234555,20212
215,236495,20302
216,238435,20389
217,240375,20472
218,242315,20560
219,244255,20671
220,246195,20754
221,248135,20836
222,250075,20926
