,nfe,improvements
0,100,40
1,200,67
2,300,103
3,400,133
4,500,157
5,600,183
6,700,210
7,800,234
8,900,251
9,1000,267
10,1100,285
11,1200,305
12,1300,318
13,1400,332
14,1500,346
15,1600,361
16,1700,375
17,1800,389
18,1900,399
19,2000,415
20,2100,428
21,2200,438
22,2300,447
23,2400,457
24,2500,468
25,2600,486
26,2700,497
27,2800,515
28,2900,522
29,3000,536
30,3100,543
31,3200,551
32,3300,564
33,3400,579
34,3500,590
35,3600,601
36,3700,610
37,3800,622
38,3900,630
39,4000,644
40,4100,654
41,4200,668
42,4300,676
43,4400,688
44,4500,704
45,4600,718
46,4700,729
47,4800,739
48,4900,753
49,5000,770
50,5100,784
51,5200,794
52,5300,804
53,5400,817
54,5500,829
55,5600,838
56,5700,853
57,5800,867
58,5900,877
59,6000,886
60,6100,900
61,6200,904
62,6300,911
63,6400,919
64,6500,933
65,6600,941
66,6700,951
67,6800,956
68,6900,971
69,7000,976
70,7100,989
71,7200,1004
72,7300,1014
73,7400,1025
74,7500,1038
75,7600,1050
76,7700,1058
77,7800,1071
78,7900,1078
79,8000,1092
80,8100,1103
81,8200,1106
82,8300,1113
83,8400,1120
84,8500,1131
85,8600,1142
86,8700,1151
87,8800,1160
88,8900,1170
89,9000,1178
90,9100,1187
91,9200,1194
92,9300,1201
93,9400,1210
94,9500,1223
95,9600,1236
96,9700,1249
97,9800,1256
98,9900,1268
99,11440,1284
100,13360,1375
101,15280,1484
102,17200,1639
103,19120,1823
104,21040,2016
105,22960,2223
106,24880,2452
107,26800,2671
108,28720,2879
109,30640,3067
110,32560,3247
111,34480,3397
112,36400,3529
113,38320,3688
114,40240,3841
115,42160,3980
116,44080,4112
117,46000,4235
118,47920,4372
119,49840,4500
120,51760,4627
121,53680,4752
122,55600,4875
123,57520,4999
124,59440,5108
125,61360,5232
126,63280,5343
127,65200,5464
128,67120,5580
129,69040,5677
130,70960,5769
131,72880,5882
132,74800,5984
133,76720,6071
134,78640,6183
135,80560,6276
136,82480,6379
137,84400,6472
138,86320,6563
139,88240,6660
140,90160,6749
141,92080,6839
142,94000,6933
143,95920,7021
144,97840,7111
145,99760,7213
146,101680,7305
147,103600,7406
148,105520,7493
149,107440,7577
150,109360,7660
151,111280,7746
152,113200,7830
153,115120,7912
154,117040,8000
155,118960,8062
156,120880,8133
157,122800,8217
158,124720,8293
159,126640,8377
160,128560,8461
161,130480,8545
162,132400,8601
163,134320,8682
164,136240,8755
165,138160,8822
166,140080,8895
167,142000,8974
168,143920,9055
169,145840,9134
170,147760,9211
171,149680,9289
172,151600,9347
173,153520,9424
174,155440,9495
175,157360,9558
176,159280,9639
177,161200,9711
178,163120,9785
179,165040,9861
180,166960,9936
181,168880,10008
182,170800,10089
183,172720,10171
184,174640,10243
185,176560,10306
186,178480,10371
187,180400,10434
188,182320,10497
189,184240,10551
190,186160,10616
191,188080,10662
192,190000,10739
193,191920,10796
194,193840,10866
195,195760,10944
196,197680,10993
197,199600,11046
198,201520,11094
199,210364,11147
200,219596,11343
201,228828,11585
202,238060,11945
203,247292,12377
204,256524,12900
