,,0,1
100,0,7.200928360994231,-0.10023078456128193
100,1,1.5291296273658799,-0.45185553880572144
100,2,5.804070961508591,-0.28686772108234576
100,3,2.213377673167472,-0.40393912844622
100,4,12.91889680429362,-0.09419744679908677
100,5,3.1029253059586273,-0.33894851450976443
200,0,5.804070961508591,-0.28686772108234576
200,1,2.213377673167472,-0.40393912844622
200,2,12.927682702435686,-0.09619213394984052
200,3,4.531315946292976,-0.3523306455073305
200,4,11.159330960124118,-0.10209475277969718
200,5,1.5361793378730193,-0.45115455527545933
300,0,5.804070961508591,-0.28686772108234576
300,1,12.927682702435686,-0.09619213394984052
300,2,4.531315946292976,-0.3523306455073305
300,3,11.159330960124118,-0.10209475277969718
300,4,1.5361793378730193,-0.45115455527545933
300,5,2.6175143776213456,-0.42771434119875357
300,6,5.059266043778856,-0.34007912274054586
