,,0,1
100,0,3.164183250707374,-0.3540427939404811
100,1,6.954576581454445,-0.11326929828524443
100,2,5.197859245710382,-0.3213971303724056
100,3,13.112918754895258,-0.084251168984777
100,4,1.5378642237910154,-0.4513465053776102
200,0,3.164183250707374,-0.3540427939404811
200,1,6.954576581454445,-0.11326929828524443
200,2,5.197859245710382,-0.3213971303724056
200,3,13.910264816018119,-0.07957016073592331
200,4,5.687016364389827,-0.15079673633161236
200,5,1.5378694595230589,-0.4513469973137942
300,0,5.197859245710382,-0.3213971303724056
300,1,1.5378694595230589,-0.4513469973137942
300,2,14.06292914054546,-0.0845179948278443
300,3,6.814744875626782,-0.16308873629243245
300,4,3.187429653245427,-0.39629527362483724
300,5,2.325281347356079,-0.4290707559313377
300,6,7.464781036451686,-0.11345995935317918
