,,0,1
100,0,11.899693494736756,-0.08394550073908025
100,1,4.2866661150236185,-0.3038808262602951
100,2,7.183049744610223,-0.11762140756123586
100,3,2.425908747651468,-0.37926939998424286
100,4,1.5379629552723455,-0.4507978457300474
200,0,4.2866661150236185,-0.3038808262602951
200,1,2.425908747651468,-0.37926939998424286
200,2,1.5379629552723455,-0.4507978457300474
200,3,13.463673353523962,-0.09282563509140204
200,4,5.917178917838294,-0.1913396063032018
200,5,7.368755535745071,-0.10206286699234006
300,0,4.2866661150236185,-0.3038808262602951
300,1,1.5379629552723455,-0.4507978457300474
300,2,13.463673353523962,-0.09282563509140204
300,3,5.917178917838294,-0.1913396063032018
300,4,8.486408839276027,-0.12879425738823122
300,5,5.351308500754002,-0.23294560945843837
300,6,3.2020919479080705,-0.35212522512226263
