,nfe,improvements
0,100,16
1,200,30
2,300,44
3,400,62
4,500,85
5,600,108
6,700,122
7,800,132
8,900,144
9,1000,154
10,1100,163
11,1200,171
12,1300,178
13,1400,182
14,1500,188
15,1600,194
16,1700,201
17,1800,202
18,1900,205
19,2000,211
20,2100,218
21,2200,229
22,2300,237
23,2400,242
24,2500,253
25,2600,260
26,2700,267
27,2800,274
28,2900,278
29,3000,287
30,3100,294
31,3200,301
32,3300,306
33,3400,312
34,3500,315
35,3600,322
36,3700,325
37,3800,332
38,3900,338
39,4000,341
40,4100,342
41,4200,344
42,4300,346
43,4400,354
44,4500,359
45,4600,364
46,4700,369
47,4800,373
48,4900,377
49,5000,379
50,5100,384
51,5200,391
52,5300,395
53,5400,397
54,5500,398
55,5600,400
56,5700,403
57,5800,406
58,5900,408
59,6000,411
60,6100,413
61,6200,414
62,6300,416
63,6400,422
64,6500,426
65,6600,431
66,6700,435
67,6800,442
68,6900,447
69,7000,449
70,7100,452
71,7200,453
72,7300,456
73,7400,457
74,7500,458
75,7600,460
76,7700,462
77,7800,464
78,7900,464
79,8000,465
80,8100,467
81,8200,470
82,8300,472
83,8400,476
84,8500,477
85,8600,478
86,8700,479
87,8800,481
88,8900,484
89,9000,487
90,9100,490
91,9200,493
92,9300,498
93,9400,500
94,9500,501
95,9600,504
96,9700,507
97,9800,511
98,9900,515
99,10444,516
100,11036,530
101,11628,547
102,12220,573
103,12812,618
104,13404,659
105,13996,691
106,14588,727
107,15180,770
108,15772,793
109,16364,820
110,16956,847
111,17548,875
112,18140,906
113,18732,933
114,19324,951
115,19916,978
116,20508,999
117,21100,1027
118,21692,1051
119,22284,1071
120,22876,1092
121,23468,1109
122,24060,1127
123,24652,1149
124,25244,1169
125,25836,1188
126,26428,1206
127,27020,1223
128,27612,1242
129,28204,1257
130,28796,1277
131,29388,1290
132,29980,1307
133,30572,1320
134,31164,1339
135,31756,1359
136,32348,1373
137,32940,1393
138,33532,1408
139,34124,1429
140,34716,1445
141,35308,1460
142,35900,1476
143,36492,1494
144,37084,1512
145,37676,1526
146,38268,1545
147,38860,1554
148,39452,1574
149,40044,1592
150,40636,1606
151,41228,1630
152,41820,1656
153,42412,1680
154,43004,1697
155,43596,1722
156,44188,1752
157,44780,1769
158,45372,1794
159,45964,1808
160,46556,1828
161,47148,1856
162,47740,1874
163,48332,1902
164,48924,1933
165,49516,1955
166,50108,1981
167,50700,2001
168,51292,2033
169,51884,2056
170,52476,2084
171,53068,2103
172,53660,2128
173,54252,2150
174,54844,2174
175,55436,2193
176,56028,2217
177,56620,2239
178,57212,2263
179,57804,2286
180,58396,2306
181,58988,2331
182,59580,2348
183,60172,2365
184,60764,2385
185,61356,2412
186,61948,2431
187,62540,2448
188,63132,2471
189,63724,2494
190,64316,2510
191,64908,2532
192,65500,2568
193,66092,2598
194,66684,2616
195,67276,2638
196,67868,2661
197,68460,2683
198,69052,2720
199,71030,2748
200,72878,2806
201,74726,2871
202,76574,2948
203,78422,3064
204,80270,3203
205,82118,3369
206,83966,3500
207,85814,3627
208,87662,3759
209,89510,3870
210,91358,3969
211,93206,4076
212,95054,4185
213,96902,4281
214,98750,4392
215,100598,4482
216,102446,4572
217,104294,4653
218,106142,4726
219,107990,4800
220,109838,4882
221,111686,4946
222,113534,5022
223,115382,5092
224,117230,5164
225,119078,5246
226,120926,5321
227,122774,5385
228,124622,5461
229,126470,5536
230,128318,5610
231,130166,5679
232,132014,5750
233,133862,5819
234,135710,5886
235,137558,5955
236,139406,6038
237,141254,6089
238,143102,6154
239,144950,6215
240,146798,6271
241,148646,6337
242,150494,6397
243,152342,6466
244,154190,6529
245,156038,6586
246,157886,6653
247,159734,6721
248,161582,6782
249,163430,6832
250,165278,6893
251,167126,6962
252,168974,7024
253,170822,7095
254,172670,7155
255,174518,7206
256,176366,7268
257,178214,7325
258,180062,7379
259,181910,7433
260,183758,7481
261,185606,7550
262,187454,7609
263,189302,7659
264,191150,7725
265,192998,7778
266,194846,7830
267,196694,7883
268,198542,7929
269,200390,7995
270,202238,8046
271,204086,8089
272,205934,8137
273,207782,8187
274,209630,8237
275,211478,8287
276,213326,8333
277,215174,8383
278,217022,8435
279,218870,8486
280,220718,8543
281,222566,8591
282,224414,8652
283,226262,8707
284,228110,8756
285,229958,8799
286,231806,8845
287,233654,8907
288,235502,8946
289,237350,8987
290,239198,9027
291,241046,9071
292,242894,9119
293,244742,9161
294,246590,9214
295,248438,9253
296,250286,9292
