,nfe,improvements
0,100,48
1,200,74
2,300,95
3,400,113
4,500,124
5,600,143
6,700,160
7,800,172
8,900,187
9,1000,197
10,1100,207
11,1200,220
12,1300,230
13,1400,242
14,1500,256
15,1600,267
16,1700,276
17,1800,293
18,1900,304
19,2000,322
20,2100,332
21,2200,345
22,2300,356
23,2400,368
24,2500,379
25,2600,392
26,2700,399
27,2800,413
28,2900,425
29,3000,441
30,3100,448
31,3200,464
32,3300,474
33,3400,486
34,3500,498
35,3600,506
36,3700,517
37,3800,525
38,3900,537
39,4000,555
40,4100,563
41,4200,576
42,4300,588
43,4400,600
44,4500,610
45,4600,623
46,4700,634
47,4800,647
48,4900,657
49,5000,668
50,5100,681
51,5200,692
52,5300,704
53,5400,718
54,5500,734
55,5600,749
56,5700,764
57,5800,781
58,5900,796
59,6000,804
60,6100,813
61,6200,823
62,6300,839
63,6400,853
64,6500,862
65,6600,871
66,6700,890
67,6800,902
68,6900,922
69,7000,937
70,7100,948
71,7200,963
72,7300,977
73,7400,994
74,7500,1009
75,7600,1023
76,7700,1040
77,7800,1056
78,7900,1070
79,8000,1082
80,8100,1095
81,8200,1111
82,8300,1121
83,8400,1130
84,8500,1146
85,8600,1163
86,8700,1172
87,8800,1185
88,8900,1199
89,9000,1205
90,9100,1219
91,9200,1233
92,9300,1244
93,9400,1253
94,9500,1266
95,9600,1278
96,9700,1292
97,9800,1304
98,9900,1318
99,10942,1334
100,12198,1436
101,13454,1604
102,14710,1838
103,15966,2087
104,17222,2297
105,18478,2510
106,19734,2687
107,20990,2834
108,22246,2981
109,23502,3115
110,24758,3222
111,26014,3349
112,27270,3471
113,28526,3612
114,29782,3725
115,31038,3829
116,32294,3933
117,33550,4040
118,34806,4152
119,36062,4256
120,37318,4357
121,38574,4460
122,39830,4560
123,41086,4671
124,42342,4760
125,43598,4869
126,44854,4969
127,46110,5071
128,47366,5175
129,48622,5280
130,49878,5385
131,51134,5478
132,52390,5564
133,53646,5675
134,54902,5755
135,56158,5847
136,57414,5935
137,58670,6032
138,59926,6141
139,61182,6233
140,62438,6317
141,63694,6399
142,64950,6475
143,66206,6559
144,67462,6642
145,68718,6721
146,69974,6800
147,71230,6892
148,72486,6975
149,73742,7060
150,74998,7136
151,76254,7223
152,77510,7310
153,78766,7385
154,80022,7476
155,81278,7553
156,82534,7641
157,83790,7698
158,85046,7778
159,86302,7847
160,87558,7921
161,88814,7999
162,90070,8063
163,91326,8134
164,92582,8206
165,93838,8273
166,95094,8340
167,96350,8409
168,97606,8469
169,98862,8533
170,100118,8600
171,101374,8677
172,102630,8739
173,103886,8798
174,105142,8854
175,106398,8907
176,107654,8969
177,108910,9033
178,110166,9075
179,111422,9135
180,112678,9203
181,113934,9261
182,115190,9305
183,116446,9346
184,117702,9392
185,118958,9452
186,120214,9497
187,121470,9550
188,122726,9614
189,123982,9659
190,125238,9708
191,126494,9757
192,127750,9803
193,129006,9834
194,130262,9877
195,131518,9914
196,132774,9957
197,134030,9995
198,135286,10039
199,140526,10077
200,145838,10345
201,151150,10685
202,156462,11293
203,161774,11980
204,167086,12485
205,172398,12864
206,177710,13220
207,183022,13516
208,188334,13778
209,193646,14055
210,198958,14290
211,204270,14521
212,209582,14727
213,214894,14915
214,220206,15094
215,225518,15300
216,230830,15509
217,236142,15708
218,241454,15863
219,246766,16020
220,252078,16188
